,,,,,,,,,,,,,
ID,TÍTULO,AUTOR,ADITORIAL,"AÑO DE 
PUBLICACIÓN",ISBN,IDIOMA,CATEGORÍA,NIVEL LECTOR,ESTADO,"ÚLTIMO 
USUARIO","FECHA 
ÚLTIMO PRÉSTAMO",OBSERVACIONES,
1,B de barracuda,Malgorzata Strzalkowska,SALVAT,2008,978-84-471-1291-3,Español,Cuento,Infantil,Disponible,,,Para niños de 3 a 7 años,
2,M de marmota,Laura Vaqué,SALVAT,2009,978-84-471-1302-6,Español,Cuento,Infantil,Disponible,,,Para niños de 3 a 7 años,
3,P de pingüino,Malgorzata Strzalkowska,SALVAT,2009,978-84-471-1305-7,Español,Cuento,Infantil,Disponible,,,Para niños de 3 a 7 años,
4,En el fondo del jardín,Claude Ponte,Corimbo,1998,978-84-8470-292-4,Español,Cuento,Infantil,Disponible,,,,
5,"Trueno, El quitro chileno",Andrea y Claudia Paz,P&L Global Network,2014,978-956-9575-00-6,Español,Cuento,Infantil,Disponible,,,Animales Chilenos,
6,"Coscolino, El cóndor Andino",Andrea y Claudia Paz,P&L Global Network,2014,978-956-9575-01-3,Español,Cuento,Infantil,Disponible,,,Animales Chilenos,
7,Juanita aprende a saludar,Andrea y Claudia Paz,P&L Global Network,2016,978-612-46983-5-4,Español,Cuento,Infantil,Disponible,,,Seamos Amables,
8,Catini pide por favor,Andrea y Claudia Paz,P&L Global Network,2016,978-612-46983-4-7,Español,Cuento,Infantil,Disponible,,,Seamos Amables (descosido),
9,Rita aprende a decir gracias,Andrea y Claudia Paz,P&L Global Network,2016,978-612-96983-7-8,Español,Cuento,Infantil,Disponible,,,Seamos Amables,
10,Un maquinista llamado Bruno,Los Hermanos Paz,P&L Global Network,2017,978-612-46983-9-2,Español,Cuento,Infantil,Disponible,,,"Uno, dos…tren!",
11,Dos patitos llevan arroz,Los Hermanos Paz,P&L Global Network,2017,978-612-46983-9-2,Español,Cuento,Infantil,Disponible,,,"Uno, dos…tren!",
12,Cinco niños que dan brincos,Los Hermanos Paz,P&L Global Network,2017,978-612-4359-01-9,Español,Cuento,Infantil,Disponible,,,"Uno, dos…tren!",
13,Seis chanchitos llegan a la vez,Los Hermanos Paz,P&L Global Network,2017,978-612-4359-01-9,Español,Cuento,Infantil,Disponible,,,"Uno, dos…tren!",
14,"¿Un perro, Bruno?",Reina Ollivier,EDELVIVES,2001,84-263-5099-2,Español,Cuento,Infantil,Disponible,,,,
15,Astor Castor,Antoon Krings,BLUME,2011,978-612-305-003-0,Español,Cuento,Infantil,Disponible,,,Bichitos Curiosos,
16,El león dormido,Jean Pablo Venegas,TMT Guias del Perú,2018,978-612-00-3486-6,Español,Cuento,Infantil,Disponible,,,,
17,"El veloz Cristhian, superhéroe de rojo y blanco",Isabel Gutiérrez Molina,ICG SAC,2019,978-612-48137-1-9,Español,Historia,Infantil,Disponible,,,Campeones Panamericanos,
18,"El gran Piccolo, la historia de un campeón mundial",Isabel Gutiérrez Molina,ICG SAC,2019,978-612-48137-0-2,Español,Historia,Infantil,Disponible,,,Campeones Panamericanos,
19,"La selva, descubrir el mundo",Laura Saporito,MSA,2015,978-84-8298-612-8,Español,Ciencias Naturales,Infantil,Disponible,,,National Geographic,
20,"The Lion and the Mouse, El león y el ratón",Teresa Mlawer,Panamericana,2016,978-612-47103-9-1,Inglés y Español,Cuento,Infantil,Disponible,,,Timeless tales / Cuentos de siempre,
21,Un concierto en la granja,Maribel Pinto,Santillana,2013,978-9972-37-559-0,Español,Cuento,Infantil,Disponible,,,Para niños de 3 años,
22,Sol cumple 3,Luz Cantuarias,Santillana,2013,978-9972-37-561-3,Español,Cuento,Infantil,Disponible,,,Para niños de 3 años,
23,Paco y Lala,Luz Cantuarias,Santillana,2013,978-9972-37-568-2,Español,Cuento,Infantil,Disponible,,,Para niños de 3 años,
24,Monito y el árbol de Navidad,Elsa Mariscal,Santillana,2013,978-9972-37-560-6,Español,Cuento,Infantil,Disponible,,,Para niños de 3 años,
25,Barquito viajero,Los Hermanos Paz,SEPTIEMBRE,2009,978-603-4029-81-1,Español,Cuento,Infantil,Disponible,,,,
26,La Granja  de Hilario,José Luis Mejía,Santillana,2004,978-9972-847-50-9,Español,Cuento,Infantil,Disponible,,,,
27,¡Mío! ¡Mío! El huevo es mío,Violeta Monreal,Everest,2012,978-84-241-8102.4,Español,Valores,Infantil,Disponible,,,Desde 5 años,
28,Todos Somos Especiales,Arelene Maguire,Everest,2011,978-84-241-3181-4,Español,Valores,Infantil,Disponible,,,Desde 5 años,
29,El gato del periódico,Nienkr Denekamp,Panamericana,2014,978-958-30-4480-9,Español,Cuento,Infantil,Disponible,,,,
30,Bolita,M.B.Brozon,Alfaguara,2011,978-603-4016-40-8,Español,Cuento,Infantil,Disponible,,,Desde 6 años,
31,Ponis Juguetones: Diversión en la granja,Lexus,Lexus,,,Español,Cuento,Infantil,Disponible,,,Para niños de 3 años,
32,"Yes, Yes! Canta en Inglés: Row row row your boat",,SEPTIEMBRE,2011,978-9972-59-438-0,Inglés,Canción,Infantil,Disponible,,,Incluye CD con canciones,
33,Lion Guard: Unlikely Friends,Gina Gold,Disney Press,2016,978-1-4847-5643-0,Inglés,Cuento,Infantil,Disponible,,,,
34,Pequeño Zoológico,Gail Tuchman,Scholastic INC,2014,978-0-545-69512-1,Español,Animales y hábitats,Infantil,Disponible,,,Incluye Libro digital,
35,Bebés de la Selva,Charles Reasoner,Latinbooks,2013,978-84-662-1994-5,Español,Animales y hábitats,Infantil,Disponible,,,Para niños de 3 años,
36,El Hombrecillo de Papel,Fernando Alonso,Everest,2008,978-84-441-4108-4,Español,Cuento,Infantil,Disponible,,,Desde 6 años,
37,Lcturas Escogidas Infantiles,,Chirre S.A.,2009,978-9972-08-014-2,Español,Valores,Infantil,Disponible,,,Desde 6 años,
38,Diario de un Unicornio: Iris y el cachorro de dragón,Rebecca Elliott,Scholastic INC,2021,978-1-338-76752-0,Español,Cuento,Infantil,Disponible,,,Desde 6 años,
39,La astucia de la gallinita,Anónimo,Navarrete,2014,978-612-4154-06-5,Español,Cuento,Infantil,Disponible,,,mini libro,
40,Dumbo,,Cottbell,2013,,Español,Valores,Infantil,Disponible,,,,
41,Mis primeras fábulas,,Cottbell,2013,,Español,Fábulas,Infantil,Disponible,,,,
42,La bruja del bosque,,Cottbell,2014,,Español,Valores,Infantil,Disponible,,,,
43,El flautista de Hamelín,,SEPTIEMBRE,2010,978-612-4029-72-1,Español,Cuento,Infantil,Disponible,,,Cuentos Clasicos con Miss Rosi,
44,Pinocho,,SEPTIEMBRE,2010,978-612-4029-76-9,Español,Cuento,Infantil,Disponible,,,Cuentos Clasicos con Miss Rosi,
45,El Libro de la Selva,,SEPTIEMBRE,2010,978-612-4029-77-6,Español,Cuento,Infantil,Disponible,,,Cuentos Clasicos con Miss Rosi,
46,Cenicienta,Disney,Vértice,2013,978-987-681-759-2,Español,Cuento,Infantil,Disponible,,,,
47,Winnie e Igor,Disney,Studio Mouse,2010,978-84-9786-421-3,Español,Cuento,Infantil,Disponible,,,audio libro,
48,Granja Divertida,Natalie Marshall,Panamericana,2013,978-958-766-309-9,Español,Animales y hábitats,Infantil,Disponible,,,Para niños de 3 años,
49,Inglés básico,,Toribio Anyarin Injante,2016,,Inglés,Idiomas,Infantil,Disponible,,,,
50,Paco y Milly van de vacaciones,Peter Curry,Panamericana,2013,978-858-766-252-8,Español,Cuento,Infantil,Disponible,,,Desde 3 años,
51,Baba y Utu,Enrique Rojo,Panamericana,2018,978-958-30-5270-5,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
52,Mickey Mouse,Disney,Ediciones Zeta,2012,978-1-4454-5382-8,Español,Cuento,Infantil,Disponible,,,Desde 3 años,
53,Adivina cuanto te quiero,Sam Mc Bratney,Kókinos,2020,978-84-17074-10-4,Español,Cuento,Infantil,Disponible,,,Desde 3 años,
54,Animales del océano,,Lexus,,978-85-380-5648-5,Español,Animales y hábitats,Infantil,Disponible,,,Desde 3 años,
55,Corongo el caballito de paso,Raquel Soto de los Reyes,Didáctica,2012,978-612-4026-80-5,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
56,El hada traviesa y el cofre encantado,Kathy Schütz,Planeta Perú,2012,978-612-45969-9-5,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
57,Clavito y el xilófono mágico,Andrea y Claudia Paz,SM,2015,978-612-316-319-8,Español,Cuento,Infantil,Disponible,,,Desde 5 años,
58,Descubro los números del 0 al 1000,Sally Johnson,Remolino,,978-987-746-122-0,Español,Matemáticas,Infantil,Disponible,,,Desde 3 años,
59,Los números 1-2-3…¡Ya!,María Mañeru,LIBSA,2016,978-84-662-3378-1,Español,Matemáticas,Infantil,Disponible,,,Desde 3 años,
60,Coquito de Oro,Everardo Zapata Santillana,Dene,2016,978-612-4324-13-0,Español,Lectura y escritura,Infantil,Disponible,,,Desde 3 años,
61,Oxford Mathematics 2 (Student Book PYP),Annie Facchinetti,Oxford University Press,2020,978-0-19-031221-3,Inglés,Matemáticas,Infantil,Disponible,,,Primary Years Programs,
62,Oxford Mathematics 2 (Student Book PYP),Annie Facchinetti,Oxford University Press,2022,978-0-19-031221-3,Inglés,Matemáticas,Infantil,Disponible,,,Primary Years Programs,
63,El burrito descontento,Ruth María Zapata Misad,Ediciones Coquito,2011,978-612-4000-28-7,Español,Comprensión Lectora,Infantil,Disponible,,,De 3 a 6 años,
